cutoff,model,pred,obs,n
1,xgb_static+ts,0.09059674885356798,0.4,5
1,xgb_static+ts,0.1538930243131385,0.19402985074626866,67
1,xgb_static+ts,0.2524201860063534,0.2871287128712871,101
1,xgb_static+ts,0.34901068358722487,0.29591836734693877,98
1,xgb_static+ts,0.448268704626479,0.449438202247191,89
1,xgb_static+ts,0.5493399732740831,0.6091954022988506,87
1,xgb_static+ts,0.6480624963784128,0.6239316239316239,117
1,xgb_static+ts,0.7568122497412251,0.7238805970149254,134
1,xgb_static+ts,0.8562414117045388,0.8097014925373134,268
1,xgb_static+ts,0.9731327116490798,0.9711891042430592,1909
1,Stack (proposed),0.17754466416174586,0.125,16
1,Stack (proposed),0.25550871416403836,0.205607476635514,107
1,Stack (proposed),0.3493326218531083,0.33613445378151263,119
1,Stack (proposed),0.44719038758967167,0.42391304347826086,92
1,Stack (proposed),0.5514789786871218,0.42528735632183906,87
1,Stack (proposed),0.6574122719279283,0.6785714285714286,112
1,Stack (proposed),0.7517557602852775,0.6863905325443787,169
1,Stack (proposed),0.8602057800981265,0.8529411764705882,374
1,Stack (proposed),0.958218952398235,0.9760978321289605,1799
2,xgb_static+ts,0.07770770355390626,0.11290322580645161,62
2,xgb_static+ts,0.1490992174294179,0.1456953642384106,151
2,xgb_static+ts,0.24554037843252335,0.24242424242424243,165
2,xgb_static+ts,0.35339415661621626,0.27358490566037735,106
2,xgb_static+ts,0.4530695130245066,0.5359477124183006,153
2,xgb_static+ts,0.5514356000355185,0.5,186
2,xgb_static+ts,0.6515446192519777,0.6131687242798354,243
2,xgb_static+ts,0.7509086222600091,0.7108843537414966,294
2,xgb_static+ts,0.8518823051267074,0.8467336683417085,398
2,xgb_static+ts,0.9647888856352267,0.9615040286481648,1117
2,Stack (proposed),0.08370693358113483,0.1111111111111111,9
2,Stack (proposed),0.15348507184538895,0.12643678160919541,174
2,Stack (proposed),0.24530407491311523,0.21678321678321677,143
2,Stack (proposed),0.3498984825505821,0.26956521739130435,115
2,Stack (proposed),0.45516800605506735,0.4306569343065693,137
2,Stack (proposed),0.5491841521777119,0.46107784431137727,167
2,Stack (proposed),0.6538231547782977,0.6021505376344086,279
2,Stack (proposed),0.7529942091312519,0.7323943661971831,426
2,Stack (proposed),0.850036608310472,0.9045848822800495,807
2,Stack (proposed),0.9632845927296056,0.988673139158576,618
3,xgb_static+ts,0.05095183207531986,0.042028985507246375,690
3,xgb_static+ts,0.14476842875312565,0.16346153846153846,416
3,xgb_static+ts,0.2473017896577302,0.326984126984127,315
3,xgb_static+ts,0.34641773705706336,0.32432432432432434,222
3,xgb_static+ts,0.44518159307951394,0.4423076923076923,208
3,xgb_static+ts,0.5510174976726838,0.5865921787709497,179
3,xgb_static+ts,0.6480247591826933,0.6312056737588653,141
3,xgb_static+ts,0.7477255755960941,0.752,125
3,xgb_static+ts,0.8492993922772081,0.8805970149253731,134
3,xgb_static+ts,0.9747182290736858,0.9865168539325843,445
3,Stack (proposed),0.06144965655118099,0.03571428571428571,364
3,Stack (proposed),0.15553697154235255,0.08990825688073395,545
3,Stack (proposed),0.24639387386985612,0.2328767123287671,438
3,Stack (proposed),0.3471680073077552,0.3741935483870968,310
3,Stack (proposed),0.4477641916866666,0.43388429752066116,242
3,Stack (proposed),0.5473153360647054,0.581151832460733,191
3,Stack (proposed),0.6419012832950106,0.7323943661971831,142
3,Stack (proposed),0.7455124384162214,0.8362068965517241,116
3,Stack (proposed),0.8482729068300341,0.9047619047619048,105
3,Stack (proposed),0.9640579868854575,0.9881516587677726,422
