acc,acc_sd,kappa,auc,auc_sd,lam1,lam2,main
0.4723,0.0112,0.3671,0.814,0.0067,0.05,0.01,False
0.4699,0.0106,0.3644,0.8142,0.007,0.05,0.05,False
0.472,0.0102,0.3667,0.814,0.0072,0.05,0.1,False
0.471,0.0097,0.3651,0.8142,0.0067,0.1,0.01,False
0.4696,0.0111,0.3639,0.8143,0.0071,0.1,0.05,False
0.471,0.0105,0.3657,0.8142,0.0071,0.1,0.1,False
0.471,0.0092,0.365,0.8146,0.0065,0.2,0.01,False
0.4699,0.0128,0.3643,0.8147,0.0068,0.2,0.05,True
0.4696,0.0152,0.3637,0.8145,0.007,0.2,0.2,False
0.4706,0.012,0.3647,0.8153,0.0065,0.5,0.01,False
0.471,0.0158,0.3652,0.8154,0.0068,0.5,0.05,False
0.4699,0.0147,0.364,0.8153,0.0069,0.5,0.1,False
0.4699,0.0125,0.3637,0.8164,0.0063,1.0,0.01,False
0.4689,0.0129,0.3628,0.8161,0.0065,1.0,0.05,False
0.4692,0.0122,0.3633,0.8158,0.0067,1.0,0.1,False
0.4727,0.0104,0.367,0.8172,0.006,2.0,0.01,False
0.4689,0.0087,0.363,0.8168,0.0064,2.0,0.05,False
0.4682,0.0104,0.3623,0.8165,0.0064,2.0,0.1,False
