config,lam1,lam2,auc,dAUC_mean,dAUC_ci_low,dAUC_ci_high
m0.05_d0.01,0.05,0.01,0.8135474881465391,0.00035254729566013124,-0.0005239365336003443,0.0011811896578529098
m0.05_d0.05,0.05,0.05,0.813565432563028,0.0003605786723156695,-0.0010566961196764562,0.00182519470823449
m0.05_d0.1,0.05,0.1,0.8135129433504341,0.00029355533701754823,-0.00141190380532413,0.0018125284701668047
m0.1_d0.01,0.1,0.01,0.813712736954414,0.0005105358869104555,-0.0005069467880171929,0.0015296540009785559
m0.1_d0.05,0.1,0.05,0.8136766274732287,0.0005343655955915148,-0.0008460367635269666,0.0019388005009913357
m0.1_d0.1,0.1,0.1,0.8137181722334089,0.0005287175138389662,-0.0011207665110534893,0.0021958187598524553
m0.2_d0.01,0.2,0.01,0.8140843268677836,0.0008962209036926413,-0.0002628280982705483,0.002101989091530706
"main(0.2,0.05)",0.2,0.05,0.8141225389439465,0.0009112022630044079,-0.0006213648538548833,0.0023750817161537234
m0.2_d0.2,0.2,0.2,0.8140433813236876,0.0008653297163950394,-0.0010026566967728107,0.0028543773224329935
m0.5_d0.01,0.5,0.01,0.8149106246065871,0.0017231094228329078,8.469049993556078e-05,0.0032649703855497565
m0.5_d0.05,0.5,0.05,0.8147877714469146,0.0015596776566716311,-0.0003088523870782094,0.003365491597872619
m0.5_d0.1,0.5,0.1,0.8146868703222753,0.0015333932583236599,-0.0005932407041285364,0.0034635375373656707
m1.0_d0.01,1.0,0.01,0.8159366484604605,0.002662426730917376,0.0006418105083432185,0.004667524847415699
m1.0_d0.05,1.0,0.05,0.815538068127602,0.002292100571339531,0.0001526813715454878,0.0044442367902547434
m1.0_d0.1,1.0,0.1,0.8152981480447085,0.0020367290632715613,-0.000112433660008146,0.0042343336732006765
m2.0_d0.01,2.0,0.01,0.8166796696382576,0.0034203605334561537,0.0009105152690403739,0.005922745642671267
m2.0_d0.05,2.0,0.05,0.8162952996310712,0.00318786350512619,0.0006509411717118552,0.005821854429644393
m2.0_d0.1,2.0,0.1,0.8159446615793922,0.0027703601111965658,0.0003467245897991134,0.005311552220277102
