model,acc,acc_sd,kappa,auc,auc_sd
gru_seqonly,0.4174,0.0154,0.3014,0.7774,0.0088
gru_long,0.4626,0.0092,0.3535,0.8037,0.0083
gru,0.4723,0.0069,0.3668,0.8139,0.0099
gru_tpr,0.4727,0.0072,0.367,0.8152,0.0078
gru_tsstatic,0.4755,0.0117,0.3693,0.8124,0.0075
dggru,0.4755,0.0088,0.3708,0.8136,0.0066
dggru_tpr,0.4699,0.0128,0.3643,0.8147,0.0068
v2_dggru_tpr_bi_tsstatic,0.4703,0.0117,0.3582,0.7965,0.0067
v2_bi_tsstatic,0.472,0.0111,0.36,0.7962,0.0068
XGB static-only,0.4901,,0.3663,0.8142,
XGB static-only,0.5117,,0.3809,0.8175,
XGB static+TS,0.5297,,0.4024,0.8262,
Stack (proposed),0.5391,,0.4073,0.8304,
