pathway,atlas_dir,atlas_stat,atlas_p,atlas_fdr,GSE16561_stroke_vs_control_t,GSE16561_stroke_vs_control_dir,GSE16561_stroke_vs_control_concordant,GSE22255_stroke_vs_control_t,GSE22255_stroke_vs_control_dir,GSE22255_stroke_vs_control_concordant,GSE58294_stroke_vs_control_3h_t,GSE58294_stroke_vs_control_3h_dir,GSE58294_stroke_vs_control_3h_concordant,GSE58294_stroke_vs_control_5h_t,GSE58294_stroke_vs_control_5h_dir,GSE58294_stroke_vs_control_5h_concordant,GSE58294_stroke_vs_control_24h_t,GSE58294_stroke_vs_control_24h_dir,GSE58294_stroke_vs_control_24h_concordant,GSE58294_24h_vs_3h_t,GSE58294_24h_vs_3h_dir,GSE58294_24h_vs_3h_concordant
GOBP:positive regulation of telomerase RNA localization to Cajal body (GO:1904874),up,5.890990191028343,1.3296991010891383e-06,0.0063784548604644,-2.3722829934773695,down,False,-0.8590778177455901,down,False,3.517941994249135,up,True,-0.5799492202865915,down,False,1.1550780504354397,up,True,-0.9361931682587095,down,False
GOBP:negative regulation of DNA recombination at telomere (GO:0048239),up,5.27941051912788,8.089353025319513e-06,0.0063784548604644,-2.123187087061116,down,False,-0.2705232317713358,down,False,1.076249876860445,up,True,-0.3297158545951085,down,False,0.6832555325200123,up,True,-0.2757176241230699,down,False
GOBP:mitotic nuclear membrane reassembly (GO:0007084),up,5.373220689203148,6.131383526464836e-06,0.0063784548604644,-1.5104153538352187,down,False,-2.198601264682839,down,False,0.9158837165115316,up,True,-0.7849329804212175,down,False,-2.6017269302116692,down,False,-1.9863009149997026,down,False
GOBP:regulation of DNA recombination at telomere (GO:0072695),up,5.27941051912788,8.089353025319513e-06,0.0063784548604644,-2.123187087061116,down,False,-0.2705232317713358,down,False,1.076249876860445,up,True,-0.3297158545951085,down,False,0.6832555325200123,up,True,-0.2757176241230699,down,False
GOBP:mitotic nuclear membrane organization (GO:0101024),up,5.373220689203148,6.131383526464836e-06,0.0063784548604644,-1.5104153538352187,down,False,-2.198601264682839,down,False,0.9158837165115316,up,True,-0.7849329804212175,down,False,-2.6017269302116692,down,False,-1.9863009149997026,down,False
GOBP:nuclear membrane reassembly (GO:0031468),up,5.375213301673266,6.095392664994484e-06,0.0063784548604644,-1.4517133550715653,down,False,-2.240356388663127,down,False,0.6393525059273649,up,True,-0.9042873733488443,down,False,-2.236248489920342,down,False,-1.7174162890708586,down,False
REAC:Inhibition of DNA recombination at telomere,up,5.27941051912788,8.089353025319513e-06,0.0063784548604644,-2.123187087061116,down,False,-0.2705232317713358,down,False,1.076249876860445,up,True,-0.3297158545951085,down,False,0.6832555325200123,up,True,-0.2757176241230699,down,False
GOBP:chondroitin sulfate metabolic process (GO:0030204),down,-5.566253388274785,3.4663749582024247e-06,0.0063784548604644,2.928302239395003,up,False,-0.9983204821673858,down,True,1.1518771159737506,up,False,0.12888622612382578,up,False,2.0069069176298737,up,False,0.41489187430309565,up,False
REAC:Recognition and association of DNA glycosylase with site containing an affected pyrimidine,up,5.11291427768894,1.3224104084922151e-05,0.006951470713974,-1.7222574368107295,down,False,0.7764080586489,up,True,1.5312914663874175,up,True,0.20303401100162935,up,True,0.11672885047580188,up,True,-0.8986722972406699,down,False
REAC:Cleavage of the damaged pyrimidine,up,5.11291427768894,1.3224104084922151e-05,0.006951470713974,-1.7222574368107295,down,False,0.7764080586489,up,True,1.5312914663874175,up,True,0.20303401100162935,up,True,0.11672885047580188,up,True,-0.8986722972406699,down,False
REAC:Depyrimidination,up,5.11291427768894,1.3224104084922151e-05,0.006951470713974,-1.7222574368107295,down,False,0.7764080586489,up,True,1.5312914663874175,up,True,0.20303401100162935,up,True,0.11672885047580188,up,True,-0.8986722972406699,down,False
GOBP:dopaminergic neuron differentiation (GO:0071542),down,-5.133499982211758,1.2444885260070446e-05,0.006951470713974,0.09210964230922827,up,False,1.7024480433780245,up,False,-1.6257609881244026,down,True,0.1794127979652904,up,False,1.3694440041535791,up,False,1.8180478665375042,up,False
GOBP:protein K63-linked ubiquitination (GO:0070534),down,-5.0105869907356455,1.7880520365135914e-05,0.0086761786510213,-2.532316708703436,down,True,1.5384557543003488,up,False,0.9275467246927849,up,False,2.766741352936887,up,False,-0.38843571776748326,down,True,-0.8043646114186657,down,True
GOBP:nucleic acid-templated transcription (GO:0097659),up,4.933480737775659,2.24377350619528e-05,0.0101098023407713,-2.0367037854531578,down,False,0.5065202223838824,up,True,2.8555954594367794,up,True,-0.30650544689823495,down,False,-0.15667127695817118,down,False,-2.461866531788632,down,False
REAC:Metabolism,up,4.80528008196408,3.270496508501338e-05,0.0137535279837509,-1.3654057361217213,down,False,-1.8766000200056137,down,False,4.632750280887068,up,True,0.33732088376524083,up,True,1.7855450368653698,up,True,-1.7088948150904568,down,False
REAC:RUNX1 regulates transcription of genes involved in WNT signaling,up,4.73834917374809,3.9798316698819656e-05,0.0156904863585096,1.8888659145915994,up,True,2.0383384260106006,up,True,-1.7423164815675074,down,False,-1.679396850480613,down,False,-1.6736331949898835,down,False,0.052536053799265806,up,True
"GOBP:DNA catabolic process, endonucleolytic (GO:0000737)",down,-4.687583819846585,4.617750928148266e-05,0.0161280601563897,-0.9978221261371482,down,True,-1.9711161602935068,down,True,0.06730179123701686,up,False,1.9191066624184128,up,False,-0.5611877178371424,down,True,-0.34447699104646545,down,True
GOBP:cellular response to nitrogen starvation (GO:0006995),down,-4.670259645540883,4.857849444695708e-05,0.0161280601563897,2.078510845343023,up,False,0.41338227131428223,up,False,0.5347807978325058,up,False,0.6655049891513722,up,False,-0.7727130672470022,down,True,-0.9830618613234178,down,True
GOBP:cellular response to nitrogen levels (GO:0043562),down,-4.670259645540883,4.857849444695708e-05,0.0161280601563897,2.078510845343023,up,False,0.41338227131428223,up,False,0.5347807978325058,up,False,0.6655049891513722,up,False,-0.7727130672470022,down,True,-0.9830618613234178,down,True
GOBP:histone H3-K4 methylation (GO:0051568),up,4.637907938527581,5.339786422288918e-05,0.0168416863758992,-1.4799831960208467,down,False,-1.9783066116033206,down,False,-1.9729634680478205,down,False,0.08194165970704138,up,True,0.5792334838525909,up,True,1.5392848748225603,up,True
