dataset,pathway,method,stat,p,fdr,n,dir,sig,table,n_sig,overlap_with_atlas70,jaccard_vs_atlas70,min_p,min_fdr,n_pathways,n_atlas_sig,n_recomputed_sig,max_abs_dstat,max_abs_dp,celltype,label,n_markers,n_detected,score_baseline_mean,score_followup_mean,mean_change,t_paired,p_paired,p_wilcoxon,sig_fdr,sample,patient,time,score,orig_t,orig_p,orig_fdr,neut_adj_t,neut_adj_p,neut_adj_fdr,ancova_t,ancova_p,ancova_fdr,allcell_adj_t,allcell_adj_p,allcell_adj_fdr,in_atlas70,sig_orig,sig_neut_adj,sig_allcell_adj,corr_with_neutrophil
GSE37587,KEGG:ABC transporters,t_BH,2.3861989809656867,0.022915846312664096,0.299280398488214,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:AGE-RAGE signaling pathway in diabetic complications,t_BH,-3.0564799574055956,0.004414489747353229,0.15556760517488363,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:AMPK signaling pathway,t_BH,0.013406361453126297,0.9893843161595264,0.9996854503178427,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Acute myeloid leukemia,t_BH,4.323206211195051,0.00013328481849340636,0.025845194112949135,34.0,up,1.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Adherens junction,t_BH,-1.6294797956743234,0.11272167566816856,0.5370455665519692,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Adipocytokine signaling pathway,t_BH,-1.0527630594792887,0.30009750115539097,0.7278027825021939,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Adrenergic signaling in cardiomyocytes,t_BH,-1.5368954819510547,0.13385284100580852,0.5623729308211121,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:African trypanosomiasis,t_BH,-1.9241791251240652,0.06299167587440099,0.4387219586150367,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,"KEGG:Alanine, aspartate and glutamate metabolism",t_BH,-1.4153436183591779,0.16633628306735104,0.599571013479343,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Alcoholism,t_BH,-2.1022445793011024,0.04324433805720651,0.380985034168797,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Aldosterone synthesis and secretion,t_BH,-2.421203272114979,0.021130659380367612,0.2909014545052508,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Aldosterone-regulated sodium reabsorption,t_BH,-1.39801024579955,0.1714366948607273,0.6049119982066993,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Allograft rejection,t_BH,-1.3837185815441295,0.17573350302197308,0.6080520541451195,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Alzheimer disease,t_BH,-1.775421301186643,0.08505242952202959,0.4868518379536866,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Amino sugar and nucleotide sugar metabolism,t_BH,0.6913240401377851,0.49419699523608607,0.8243157350788258,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Aminoacyl-tRNA biosynthesis,t_BH,0.4611113323868201,0.6477435792243764,0.8959730995138133,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Amoebiasis,t_BH,-0.1643446473348384,0.8704623502398927,0.968408554728967,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Amphetamine addiction,t_BH,-0.20645183116384497,0.8377065061047566,0.9564258172866614,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Amyotrophic lateral sclerosis,t_BH,-1.854703463854899,0.07259236147623964,0.46599696936424395,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Antigen processing and presentation,t_BH,-0.0747344265715831,0.940877223806232,0.9873027513738373,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Apelin signaling pathway,t_BH,-1.6392928672031681,0.11065253452753615,0.5336112302987261,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Apoptosis,t_BH,2.1378430981151895,0.040027547717703046,0.3625782796568209,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Arachidonic acid metabolism,t_BH,0.3579444917799714,0.7226643289154494,0.9222937994951679,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Arginine and proline metabolism,t_BH,-1.2552990370061594,0.21818682956328073,0.6482687561939235,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Arginine biosynthesis,t_BH,-1.6645182264172087,0.10547727282245778,0.5255691267744269,34.0,down,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Arrhythmogenic right ventricular cardiomyopathy,t_BH,0.043976312017054715,0.9651883139307156,0.9961621963650098,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE37587,KEGG:Ascorbate and aldarate metabolism,t_BH,0.4959841773615107,0.6231929574832021,0.8867812262134083,34.0,up,0.0,method_compare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
