model,threshold,stage,n_train,n_test,event_rate,calib_slope,calib_intercept,calib_slope_p,calib_slope_bin,calib_r2,drift_stat,drift_p,auc,tie_auc,n_distinct_risk,mean_risk
static,y>=1,before,2052,823,0.8177399756986634,0.9156754760647038,-0.5691577940319295,7.037189875480996e-39,0.936654331750359,0.9303786214956634,51.95117512837852,1.720037778825018e-08,0.8915106488360575,,823,0.8719249409702657
static,y>=1,after,2052,823,0.8177399756986634,0.8973982190153326,-0.4335164845956269,3.127659358112997e-36,1.0244403899477588,0.885260305218798,35.86747183693373,1.8568692059470002e-05,0.8899306587419515,0.8915106488360575,30,0.8648208023208424
static,y>=2,before,2052,823,0.675577156743621,0.9768979675196753,-0.5073685495724137,2.366064407773784e-41,0.8966862953736348,0.975460441656112,43.57135145977411,6.855055474058735e-07,0.865788268261795,,823,0.7436859081785012
static,y>=2,after,2052,823,0.675577156743621,1.0020090454871695,-0.40731075552265766,3.3066312975562877e-37,1.0159341041918557,0.9764919849727162,26.427216569822054,0.0008872872088477041,0.8647205830840945,0.8657882682617951,36,0.7299115262072454
static,y>=3,before,2052,823,0.3754556500607533,0.9613278060272494,-0.3428746952313115,2.959587830652432e-45,0.982996849914742,0.9756694159173895,17.376079583596884,0.026422724207624867,0.8894387568785967,,823,0.41769084736381185
static,y>=3,after,2052,823,0.3754556500607533,0.869942810771577,-0.46682513967915706,1.963581184899844e-37,0.8760647932362535,0.9355969149518961,34.457276091709915,3.35625138847057e-05,0.8883274778688628,0.8894387568785967,43,0.4312321521363001
static+ts,y>=1,before,2052,823,0.8177399756986634,0.9196454466205357,-0.5258315525631772,6.085530589286799e-39,0.894445794397092,0.9223192728345572,55.90008519660349,2.9500851684543496e-09,0.8954531946508172,,823,0.8681923414571401
static+ts,y>=1,after,2052,823,0.8177399756986634,0.9236789382816006,-0.4222138737477614,1.1134339092163038e-39,0.7852983437426649,0.05422979974773127,30.298614303164275,0.00018716341989332886,0.8959683011391777,0.8954531946508172,25,0.8605164687373907
static+ts,y>=2,before,2052,823,0.675577156743621,0.9641419564192885,-0.537435470095303,8.351666895543456e-42,0.8804001963589079,0.9568965592450526,44.47118613488671,4.634363146600909e-07,0.8672702287608115,,823,0.7481229754684935
static+ts,y>=2,after,2052,823,0.675577156743621,0.9665016841457723,-0.391928575788823,7.599959644651888e-39,1.0123556560965052,0.9863175580964181,27.398420307228395,0.0006032503059000415,0.8661217093740736,0.8672702287608116,35,0.730481942249247
static+ts,y>=3,before,2052,823,0.3754556500607533,0.9624379187021346,-0.3636186466175989,7.494810134248677e-45,0.9851326692663527,0.9592122484226797,20.700984087204386,0.007985613255265034,0.8913716897737145,,823,0.41986875536882423
static+ts,y>=3,after,2052,823,0.3754556500607533,0.9290948131990289,-0.49236924966198187,4.928903558884647e-41,0.9508766398842068,0.9873221996099081,38.97396251996394,4.9703580300241365e-06,0.891311875889338,0.8913716897737146,38,0.43707106863678935
