feature,gain
gcs_verbal_min_x,0.042266227
gcs_last,0.034818433
gcs_verbal_mean,0.021088753
gcs_motor_last,0.02103583
gcs_total_last,0.018588314
lab_51249_n,0.012636355
gcs_verbal_last,0.012056973
lab_51248_n,0.011822323
gcs_eye_last,0.0109780235
lab_50983_n,0.010180637
lab_50971_n,0.008829432
lab_51222_n,0.008803942
lab_50931_n,0.007945292
lab_50960_n,0.007903521
lab_51221_n,0.007635113
lab_51006_n,0.007219537
motor_l_leg_min_y,0.0072189677
lab_50912_n,0.007029143
gcs_total_min,0.0061024567
spo2_last,0.0058362917
