analysis,class,dAUC,z,p_file,p_recomputed,p_holm,p_bonf,sig_holm,dAUC_fmt,z_fmt,p_recomputed_fmt,p_holm_fmt,p_bonf_fmt,model,metric,point,ci_low,ci_high,fmt
delong_multcorr,0.0,0.0049,1.98,0.048,0.04770352868301697,0.28622117209810183,0.28622117209810183,False,0.00,1.98,0.048,0.286,0.286,,,,,,
delong_multcorr,1.0,-0.0019,-0.31,0.7547,0.7565609563559614,1.0,1.0,False,-0.00,-0.31,0.757,1.000,1.000,,,,,,
delong_multcorr,2.0,0.004,1.2,0.2306,0.23013934044341644,0.9205573617736658,1.0,False,0.00,1.20,0.230,0.921,1.000,,,,,,
delong_multcorr,3.0,0.0022,0.4,0.6873,0.6891565167793516,1.0,1.0,False,0.00,0.40,0.689,1.000,1.000,,,,,,
delong_multcorr,4.0,0.0108,1.98,0.0472,0.04770352868301697,0.28622117209810183,0.28622117209810183,False,0.01,1.98,0.048,0.286,0.286,,,,,,
delong_multcorr,5.0,0.0014,0.85,0.3943,0.39532508624538476,1.0,1.0,False,0.00,0.85,0.395,1.000,1.000,,,,,,
bootstrap_ci,,,,,,,,,,,,,,XGB static,acc,0.5116521739130435,0.49391304347826087,0.5300869565217391,0.51 (0.49-0.53)
bootstrap_ci,,,,,,,,,,,,,,XGB static,kappa,0.380938899367182,0.35875577984775386,0.4029822097542477,0.38 (0.36-0.40)
bootstrap_ci,,,,,,,,,,,,,,XGB static,macro_auc,0.8172210333814376,0.8081949971971918,0.8265617380698815,0.82 (0.81-0.83)
bootstrap_ci,,,,,,,,,,,,,,XGB static+TS,acc,0.5297391304347826,0.5116434782608696,0.5485304347826087,0.53 (0.51-0.55)
bootstrap_ci,,,,,,,,,,,,,,XGB static+TS,kappa,0.40239046887364516,0.379558455092207,0.4247127359813714,0.40 (0.38-0.42)
bootstrap_ci,,,,,,,,,,,,,,XGB static+TS,macro_auc,0.826036932457666,0.8171310365437214,0.8347788081613174,0.83 (0.82-0.83)
bootstrap_ci,,,,,,,,,,,,,,dggru_tpr,acc,0.46991304347826085,0.4514782608695652,0.48834782608695654,0.47 (0.45-0.49)
bootstrap_ci,,,,,,,,,,,,,,dggru_tpr,kappa,0.3642745358979218,0.3420512934147246,0.3866700351951814,0.36 (0.34-0.39)
bootstrap_ci,,,,,,,,,,,,,,dggru_tpr,macro_auc,0.8141225389439465,0.8051820483688444,0.8232759375864332,0.81 (0.81-0.82)
bootstrap_ci,,,,,,,,,,,,,,Stack,acc,0.5391304347826087,0.5210434782608696,0.5575652173913044,0.54 (0.52-0.56)
bootstrap_ci,,,,,,,,,,,,,,Stack,kappa,0.407284747603466,0.3857803881276116,0.42943038360366054,0.41 (0.39-0.43)
bootstrap_ci,,,,,,,,,,,,,,Stack,macro_auc,0.8303969995316925,0.821608432385984,0.8392897439612123,0.83 (0.82-0.84)
