metric,class_id,class_label,model,time_bin,value,n
score_mean,0,HOME,notpr,,0.8440236449241638,468
score_final_mean,0,HOME,notpr,,0.6243801116943359,468
violation_rate_any,0,HOME,notpr,,1.0,468
drift_mean,0,HOME,notpr,,0.7915260741471225,468
score_mean,0,HOME,tpr,,0.7888399362564087,468
score_final_mean,0,HOME,tpr,,0.6634795069694519,468
violation_rate_any,0,HOME,tpr,,1.0,468
drift_mean,0,HOME,tpr,,0.2807351718218917,468
trajectory_mean,0,HOME,notpr,0.025,1.2887263298034668,1490
trajectory_mean,0,HOME,tpr,0.025,0.9016953706741333,1490
trajectory_mean,0,HOME,notpr,0.075,1.2107861042022705,1143
trajectory_mean,0,HOME,tpr,0.075,0.9263144135475159,1143
trajectory_mean,0,HOME,notpr,0.125,1.1186542510986328,1168
trajectory_mean,0,HOME,tpr,0.125,0.916596531867981,1168
trajectory_mean,0,HOME,notpr,0.175,1.0249956846237183,1136
trajectory_mean,0,HOME,tpr,0.175,0.8940702080726624,1136
trajectory_mean,0,HOME,notpr,0.225,0.9621188044548035,1128
trajectory_mean,0,HOME,tpr,0.225,0.8703379034996033,1128
trajectory_mean,0,HOME,notpr,0.275,0.9016700387001038,1187
trajectory_mean,0,HOME,tpr,0.275,0.8427022695541382,1187
trajectory_mean,0,HOME,notpr,0.325,0.8515366911888123,1362
trajectory_mean,0,HOME,tpr,0.325,0.8236830830574036,1362
trajectory_mean,0,HOME,notpr,0.375,0.8248841762542725,1143
trajectory_mean,0,HOME,tpr,0.375,0.801719069480896,1143
trajectory_mean,0,HOME,notpr,0.425,0.7977230548858643,1153
trajectory_mean,0,HOME,tpr,0.425,0.7867971658706665,1153
trajectory_mean,0,HOME,notpr,0.475,0.7749171853065491,1087
trajectory_mean,0,HOME,tpr,0.475,0.7760526537895203,1087
trajectory_mean,0,HOME,notpr,0.525,0.7534162402153015,1213
trajectory_mean,0,HOME,tpr,0.525,0.7565451264381409,1213
trajectory_mean,0,HOME,notpr,0.575,0.7401005625724792,1166
trajectory_mean,0,HOME,tpr,0.575,0.7505078315734863,1166
trajectory_mean,0,HOME,notpr,0.625,0.7271401286125183,1135
trajectory_mean,0,HOME,tpr,0.625,0.7403947114944458,1135
trajectory_mean,0,HOME,notpr,0.675,0.745406448841095,1377
trajectory_mean,0,HOME,tpr,0.675,0.7489648461341858,1377
trajectory_mean,0,HOME,notpr,0.725,0.7211180925369263,1117
trajectory_mean,0,HOME,tpr,0.725,0.7275488972663879,1117
trajectory_mean,0,HOME,notpr,0.775,0.7110779881477356,1164
trajectory_mean,0,HOME,tpr,0.775,0.7220227122306824,1164
trajectory_mean,0,HOME,notpr,0.825,0.696368396282196,1160
trajectory_mean,0,HOME,tpr,0.825,0.7170712947845459,1160
trajectory_mean,0,HOME,notpr,0.875,0.6768637895584106,1141
trajectory_mean,0,HOME,tpr,0.875,0.7019869685173035,1141
trajectory_mean,0,HOME,notpr,0.925,0.6614483594894409,1165
trajectory_mean,0,HOME,tpr,0.925,0.6945651173591614,1165
trajectory_mean,0,HOME,notpr,0.975,0.6413671970367432,1497
trajectory_mean,0,HOME,tpr,0.975,0.6795185804367065,1497
score_mean,1,HOME CARE,notpr,,1.0665496587753296,365
score_final_mean,1,HOME CARE,notpr,,0.904257595539093,365
violation_rate_any,1,HOME CARE,notpr,,1.0,365
drift_mean,1,HOME CARE,notpr,,0.7079486094109,365
